aqsid,param,dur,year,rows,source_file
481870504,42603,1,2021,4523,TCEQ_NOX_2016-2025.txt
481870504,42603,1,2022,4920,TCEQ_NOX_2016-2025.txt
481870504,42603,1,2023,6079,TCEQ_NOX_2016-2025.txt
481870504,42603,1,2024,4712,TCEQ_NOX_2016-2025.txt
481870504,42603,1,2025,6137,TCEQ_NOX_2016-2025.txt
481870506,42601,1,2021,4677,TCEQ_NOX_2016-2025.txt
481870506,42601,1,2022,283,TCEQ_NOX_2016-2025.txt
481870506,42601,1,2023,2413,TCEQ_NOX_2016-2025.txt
481870506,42601,1,2024,4746,TCEQ_NOX_2016-2025.txt
481870506,42601,1,2025,5822,TCEQ_NOX_2016-2025.txt
481870506,42602,1,2021,4677,TCEQ_NOX_2016-2025.txt
481870506,42602,1,2022,283,TCEQ_NOX_2016-2025.txt
481870506,42602,1,2023,2475,TCEQ_NOX_2016-2025.txt
481870506,42602,1,2024,4746,TCEQ_NOX_2016-2025.txt
481870506,42602,1,2025,5824,TCEQ_NOX_2016-2025.txt
481870506,42603,1,2021,4677,TCEQ_NOX_2016-2025.txt
481870506,42603,1,2022,283,TCEQ_NOX_2016-2025.txt
481870506,42603,1,2023,2300,TCEQ_NOX_2016-2025.txt
481870506,42603,1,2024,4746,TCEQ_NOX_2016-2025.txt
481870506,42603,1,2025,5816,TCEQ_NOX_2016-2025.txt
481870504,44201,1,2016,5333,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2017,5264,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2018,6214,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2019,6344,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2020,6390,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2021,6230,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2022,6528,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2023,6137,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2024,6492,TCEQ_O3_2016-2015_Guadelupe.txt
481870504,44201,1,2025,6513,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2016,5268,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2017,5277,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2018,5518,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2019,6326,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2020,6127,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2021,6184,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2022,5793,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2023,6157,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2024,6583,TCEQ_O3_2016-2015_Guadelupe.txt
481870506,44201,1,2025,6421,TCEQ_O3_2016-2015_Guadelupe.txt
480290055,44201,1,2016,8508,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2017,7133,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2018,1112,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2019,6307,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2020,6341,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2021,6410,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2022,6203,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2023,6217,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2024,6350,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290055,44201,1,2025,5734,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2016,5320,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2017,5983,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2018,5730,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2019,6365,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2020,6204,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2021,6256,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2022,5499,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2023,6200,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2024,6422,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290501,44201,1,2025,6139,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2016,5441,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2017,5992,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2018,6156,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2019,6325,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2020,6326,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2021,6418,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2022,5548,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2023,6215,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2024,6406,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290502,44201,1,2025,6314,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2016,8694,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2017,8650,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2018,2930,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2019,8669,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2020,8148,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2021,8505,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2022,8334,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2023,7813,TCEQ_O3_2016-2025_MissingGuadelupe.txt
480290622,44201,1,2024,8479,TCEQ_O3_2016-2025_MissingGuadelupe.txt
